Binary,Algorithm,Size,BlockSize,Run_Index,Time_Seconds
bin/matrixproduct_cpp,3,4096,128,1,25.504
bin/matrixproduct_cpp,3,4096,128,2,25.810
bin/matrixproduct_cpp,3,4096,128,3,26.015
bin/matrixproduct_cpp,3,4096,256,1,21.886
bin/matrixproduct_cpp,3,4096,256,2,22.074
bin/matrixproduct_cpp,3,4096,256,4,22.894
bin/matrixproduct_cpp,3,4096,512,1,20.967
bin/matrixproduct_cpp,3,4096,512,3,21.518
bin/matrixproduct_cpp,3,4096,512,5,21.741
bin/matrixproduct_cpp,3,6144,128,1,76.538
bin/matrixproduct_cpp,3,6144,128,2,78.131
bin/matrixproduct_cpp,3,6144,128,3,79.355
bin/matrixproduct_cpp,3,6144,256,1,75.316
bin/matrixproduct_cpp,3,6144,256,2,78.620
bin/matrixproduct_cpp,3,6144,256,3,80.354
bin/matrixproduct_cpp,3,6144,512,1,80.328
bin/matrixproduct_cpp,3,6144,512,2,72.668
bin/matrixproduct_cpp,3,6144,512,3,72.598
bin/matrixproduct_cpp,3,8192,128,1,223.370
bin/matrixproduct_cpp,3,8192,128,2,269.386
bin/matrixproduct_cpp,3,8192,128,3,339.834
bin/matrixproduct_cpp,3,8192,256,1,242.336
bin/matrixproduct_cpp,3,8192,256,2,352.513
bin/matrixproduct_cpp,3,8192,256,3,448.115
bin/matrixproduct_cpp,3,8192,512,1,372.574
bin/matrixproduct_cpp,3,8192,512,2,219.265
bin/matrixproduct_cpp,3,8192,512,3,374.408
bin/matrixproduct_cpp,3,10240,128,1,351.374
bin/matrixproduct_cpp,3,10240,128,1,362.298
bin/matrixproduct_cpp,3,10240,256,1,360.861
bin/matrixproduct_cpp,3,10240,256,1,403.600
bin/matrixproduct_cpp,3,10240,512,1,322.012
bin/matrixproduct_cpp,3,10240,512,1,330.813

