Algorithm,Size,SubOption,Threads,Run_Index,Time_Sec,GFlops
2,8192,2,4,1,115.373,9.530060133445433
2,8192,2,4,2,114.991,9.561718984755329
2,8192,2,8,1,87.053,12.630370323550022
2,8192,2,8,2,88.191,12.46739041144788
2,8192,2,12,1,70.762,15.538164944122551
2,8192,2,12,2,70.533,15.588612816355464
2,8192,2,16,1,65.899,16.684799887342752
2,8192,2,16,2,66.298,16.584386071616038
2,8192,2,20,1,66.702,16.483937929537344
2,8192,2,20,2,67.371,16.32025096519274
2,8192,2,24,1,62.59,17.566889723214572
2,8192,2,24,2,62.318,17.64356410308418
