Algorithm,Size,SubOption,Threads,Run_Index,Time_Sec,GFlops
2,1024,2,4,1,0.138,15.561475710144927
2,1024,2,4,2,0.126,17.043521015873015
2,1024,2,4,3,0.12,17.895697066666667
2,1024,2,4,4,0.129,16.647160062015505
2,1024,2,4,5,0.134,16.025997373134327
2,1536,2,4,1,0.384,18.874368
2,1536,2,4,2,0.464,15.620166620689655
2,1536,2,4,3,0.367,19.74865752588556
2,1536,2,4,4,0.402,18.02924704477612
2,1536,2,4,5,0.409,17.720678024449878
2,2048,2,4,1,1.214,14.151457317957167
2,2048,2,4,2,1.304,13.174746306748466
2,2048,2,4,3,1.291,13.307412226181254
2,2048,2,4,4,1.324,12.975732012084592
2,2048,2,4,5,1.506,11.407615660026561
2,2560,2,4,1,2.524,13.294148969889065
2,2560,2,4,2,2.666,12.586058514628657
2,2560,2,4,3,2.617,12.821716469239588
2,2560,2,4,4,2.648,12.67161329305136
2,2560,2,4,5,2.671,12.562497940846125
2,3072,2,4,1,4.441,13.056081624859265
2,3072,2,4,2,4.408,13.153824522686026
2,3072,2,4,3,4.634,12.512313011653
2,3072,2,4,4,5.312,10.915297156626506
2,3072,2,4,5,5.318,10.902982041368936
2,1024,5,4,1,2.27,0.9460280387665199
2,1024,5,4,2,2.357,0.9111088875689436
2,1024,5,4,3,2.472,0.8687231585760518
2,1024,5,4,4,2.349,0.9142118552575564
2,1024,5,4,5,2.337,0.9189061394950792
2,1536,5,4,1,5.168,1.4024298204334364
2,1536,5,4,2,5.309,1.3651831440949331
2,1536,5,4,3,5.323,1.361592581626902
2,1536,5,4,4,6.022,1.2035465479907008
2,1536,5,4,5,6.071,1.1938325336847306
2,2048,5,4,1,9.686,1.7736804856493908
2,2048,5,4,2,10.905,1.5754121214121963
2,2048,5,4,3,11.309,1.5191324771420993
2,2048,5,4,4,11.4,1.5070060687719298
2,2048,5,4,5,11.459,1.4992468089711144
2,2560,5,4,1,16.145,2.0783172499225766
2,2560,5,4,2,18.393,1.8243044636546513
2,2560,5,4,3,18.933,1.772272328738182
2,2560,5,4,4,18.875,1.7777182516556291
2,2560,5,4,5,19.469,1.7234799938363552
2,3072,5,4,1,26.506,2.1875069228099298
2,3072,5,4,2,27.614,2.0997341383356267
2,3072,5,4,3,27.72,2.091704851948052
2,3072,5,4,4,27.671,2.095408857504246
2,3072,5,4,5,28.746,2.01704788478397
