Binary,Algorithm,Size,BlockSize,Run_Index,Time_Seconds
bin/matrixproduct_cpp,1,512,N/A,1,0.126
bin/matrixproduct_cpp,1,512,N/A,2,0.141
bin/matrixproduct_cpp,1,512,N/A,3,0.134
bin/matrixproduct_cpp,1,512,N/A,4,0.148
bin/matrixproduct_cpp,1,512,N/A,5,0.144
bin/matrixproduct_cpp,1,1024,N/A,1,2.355
bin/matrixproduct_cpp,1,1024,N/A,2,2.238
bin/matrixproduct_cpp,1,1024,N/A,3,2.300
bin/matrixproduct_cpp,1,1024,N/A,4,2.302
bin/matrixproduct_cpp,1,1024,N/A,5,2.297
bin/matrixproduct_cpp,1,1536,N/A,1,8.062
bin/matrixproduct_cpp,1,1536,N/A,2,7.985
bin/matrixproduct_cpp,1,1536,N/A,3,8.090
bin/matrixproduct_cpp,1,1536,N/A,4,7.997
bin/matrixproduct_cpp,1,1536,N/A,5,7.984
bin/matrixproduct_cpp,1,2048,N/A,1,31.064
bin/matrixproduct_cpp,1,2048,N/A,2,33.601
bin/matrixproduct_cpp,1,2048,N/A,3,22.300
bin/matrixproduct_cpp,1,2048,N/A,4,22.328
bin/matrixproduct_cpp,1,2048,N/A,5,22.132
bin/matrixproduct_cpp,1,2560,N/A,1,63.601
bin/matrixproduct_cpp,1,2560,N/A,2,57.578
bin/matrixproduct_cpp,1,2560,N/A,3,57.667
bin/matrixproduct_cpp,1,2560,N/A,4,58.084
bin/matrixproduct_cpp,1,2560,N/A,5,57.458
bin/matrixproduct_cpp,1,3072,N/A,1,190.332
bin/matrixproduct_cpp,1,3072,N/A,2,185.244
bin/matrixproduct_cpp,1,3072,N/A,3,190.488
bin/matrixproduct_cpp,1,3072,N/A,4,188.104
bin/matrixproduct_cpp,1,3072,N/A,5,147.642
bin/matrixproduct_go,1,512,N/A,1,0.138
bin/matrixproduct_go,1,512,N/A,2,0.144
bin/matrixproduct_go,1,512,N/A,3,0.153
bin/matrixproduct_go,1,512,N/A,4,0.141
bin/matrixproduct_go,1,512,N/A,5,0.148
bin/matrixproduct_go,1,1024,N/A,1,2.311
bin/matrixproduct_go,1,1024,N/A,2,2.415
bin/matrixproduct_go,1,1024,N/A,3,2.361
bin/matrixproduct_go,1,1024,N/A,4,2.235
bin/matrixproduct_go,1,1024,N/A,5,2.337
bin/matrixproduct_go,1,1536,N/A,1,9.082
bin/matrixproduct_go,1,1536,N/A,2,9.011
bin/matrixproduct_go,1,1536,N/A,3,9.043
bin/matrixproduct_go,1,1536,N/A,4,9.041
bin/matrixproduct_go,1,1536,N/A,5,9.032
bin/matrixproduct_go,1,2048,N/A,1,24.940
bin/matrixproduct_go,1,2048,N/A,2,23.777
bin/matrixproduct_go,1,2048,N/A,3,24.721
bin/matrixproduct_go,1,2048,N/A,4,22.959
bin/matrixproduct_go,1,2048,N/A,5,22.910
bin/matrixproduct_go,1,2560,N/A,1,52.841
bin/matrixproduct_go,1,2560,N/A,2,55.566
bin/matrixproduct_go,1,2560,N/A,3,55.876
bin/matrixproduct_go,1,2560,N/A,4,54.167
bin/matrixproduct_go,1,2560,N/A,5,54.041
bin/matrixproduct_go,1,3072,N/A,1,186.167
bin/matrixproduct_go,1,3072,N/A,2,148.517
bin/matrixproduct_go,1,3072,N/A,3,138.359
bin/matrixproduct_go,1,3072,N/A,4,138.226
bin/matrixproduct_go,1,3072,N/A,5,137.736
bin/matrixproduct_cpp,2,512,N/A,1,0.046
bin/matrixproduct_cpp,2,512,N/A,2,0.049
bin/matrixproduct_cpp,2,512,N/A,3,0.047
bin/matrixproduct_cpp,2,512,N/A,4,0.059
