Binary,Algorithm,Size,BlockSize,Run_Index,cpu-cycles,mem_load_retired.l1_miss,mem_load_retired.l1_hit,mem_load_retired.l2_miss,mem_load_retired.l2_hit,mem_load_retired.l3_miss,mem_load_retired.l3_hit
./bin/matrixproduct_cpp,1,1024,N/A,1,12341814811,984606462,1077332262,981223537,2334064,2378311,983015650
./bin/matrixproduct_cpp,1,1024,N/A,2,12021847289,985157938,1076643691,973024492,11990514,137079,972739785
./bin/matrixproduct_cpp,1,1024,N/A,3,12017194201,981862959,1075324740,962328981,20560118,510695,961171856
./bin/matrixproduct_cpp,1,1536,N/A,1,43038335240,3360579937,3609457353,3356374728,5337296,31455427,3323678301
./bin/matrixproduct_cpp,1,1536,N/A,2,42499695211,3365384296,3607649014,3361616479,5308941,15177606,3350845665
./bin/matrixproduct_cpp,1,1536,N/A,3,42715901797,3364509933,3600954097,3358016450,5720335,19860812,3339523905
./bin/matrixproduct_cpp,1,2048,N/A,1,116521872691,7987474637,8123513184,7840597632,147216797,390157834,7447050952
./bin/matrixproduct_cpp,1,2048,N/A,2,174289007728,8156846649,8100320133,7895051290,265218807,1490226240,6397538998
./bin/matrixproduct_cpp,1,2048,N/A,3,149169332596,8055605452,8191944411,7716666703,353422450,1024522260,6673913518
./bin/matrixproduct_cpp,1,2560,N/A,1,299046335434,16296442008,14982826499,15575857667,721164181,1122458793,14459542090
./bin/matrixproduct_cpp,1,2560,N/A,2,289435125971,16316369936,14942329298,15575911127,743979237,1014446981,14566143234
./bin/matrixproduct_cpp,1,2560,N/A,3,294889553850,16299272815,14971707628,15572998832,721855871,1061882282,14516343646
./bin/matrixproduct_cpp,1,3072,N/A,1,993013521192,29024618709,25021372448,27438592500,1689936031,12049647192,15184605673
./bin/matrixproduct_cpp,1,3072,N/A,2,1040145935768,29279969058,24687083059,26812496526,2510445404,13236918066,13532795908
./bin/matrixproduct_cpp,1,3072,N/A,3,795007858919,28758510941,25254105889,26275303360,2468557142,7927978553,18402785131
./bin/matrixproduct_cpp,2,1024,N/A,1,1621507856,33750005,1906920767,470420,32816981,117361,365883
./bin/matrixproduct_cpp,2,1024,N/A,2,1799929973,55684751,1756297831,3455997,52542494,190439,3203232
./bin/matrixproduct_cpp,2,1024,N/A,3,1748031288,26817945,1952438201,500464,26697344,60762,419588
./bin/matrixproduct_cpp,2,1536,N/A,1,7042587892,311084861,5070948979,30921002,279159296,6715565,24079518
./bin/matrixproduct_cpp,2,1536,N/A,2,7297919248,352435088,4874523945,37209219,312719053,7815360,29461603
./bin/matrixproduct_cpp,2,1536,N/A,3,6957039151,196040482,5879195729,14183908,183865395,4445374,9708553
./bin/matrixproduct_cpp,2,2048,N/A,1,19211442386,482173346,13216882586,72130575,410615379,61278434,9207368
./bin/matrixproduct_cpp,2,2048,N/A,2,19663539064,629115647,12283773672,99935373,526453826,76175211,25317863
./bin/matrixproduct_cpp,2,2048,N/A,3,19720112585,650602477,12216189317,102785896,540628580,73732456,28337609
./bin/matrixproduct_cpp,2,2560,N/A,1,40331014464,812863561,25249341919,215834894,605547850,213954802,4717708
./bin/matrixproduct_cpp,2,2560,N/A,2,40591721589,812327189,25345121287,213225365,587871657,211618195,6170796
./bin/matrixproduct_cpp,2,2560,N/A,3,40898310627,802462118,25321914378,208142704,589370577,198900704,4776473
./bin/matrixproduct_cpp,2,3072,N/A,1,70227266314,1813448552,40712948630,420682172,1377738914,407660677,15634225
./bin/matrixproduct_cpp,2,3072,N/A,2,70286366823,1694743312,41415901181,385945472,1302919292,370708041,12659353
./bin/matrixproduct_cpp,2,3072,N/A,3,69964427706,1557679629,42288062884,308042263,1229243442,298474371,6288293
./bin/matrixproduct_cpp,2,4096,N/A,1,170231419887,7782493661,74163530551,786911117,6908232707,778068365,9855656
./bin/matrixproduct_cpp,2,4096,N/A,2,169856581394,7656501976,75003463640,778027201,6804379049,766585047,9191676
./bin/matrixproduct_cpp,2,4096,N/A,3,168520791931,7877923202,72793515842,786399931,7048526995,780527738,9221125
./bin/matrixproduct_cpp,2,6144,N/A,1,584002693690,33453489137,198485847478,3108991910,30151564332,3092737529,26349519
